LABORATORIO,TRI1,TRI2,TRI3,TRI4,TRI5,TRI6,TRI7,TRI8,TOTAL
CASASCO,12404,12522,12401,13137,13957,14362,14276,15472,108531
BALIARDA,7532,7578,7293,7653,7897,7948,7953,8364,62218
ROEMMERS,5714,5559,5503,5368,5926,6051,5856,6413,46390
ADIUM,4779,5337,4981,5230,5706,5534,5443,5737,42747
GADOR,4210,4216,4040,4151,4205,4100,4105,4428,33455
ELEA,2375,2536,2626,2948,3185,3288,3579,4133,24670
BAGO,2814,2671,2623,2556,2741,3042,2971,2823,22241
GLAXO SMITHKLINE,2530,2448,2320,2496,2490,2298,2276,2258,19116
ASPEN PHARMA,1475,1456,1456,1487,1535,1524,1615,1814,12362
ABBOTT,1401,1356,1301,1263,1356,1417,1316,1321,10731
BETA,1203,1274,1280,1267,1330,1235,1146,1079,9814
BIOPAS ARGENTINA,1356,1254,1198,1200,1204,1191,1137,1204,9744
ARISTON,844,1138,1253,1279,1163,1152,1068,1110,9007
LAB. NO INDICADO,999,1013,799,891,1052,1031,1008,1024,7817
LUNDBECK,904,852,737,755,821,836,712,735,6352
LEPETIT,632,632,576,446,432,312,436,436,3902
TEMIS LOSTALO,260,226,228,234,182,248,244,280,1902
JANSSEN,234,218,174,202,222,206,176,162,1594
RICHMOND,199,202,155,145,159,164,194,248,1466
TEVA,223,247,153,155,178,182,126,121,1385
